name,time/op (ns/op),±
Gol/64x64x1000-1-8,1.24984E+08,6%
Gol/64x64x1000-2-8,1.91350E+08,68%
Gol/64x64x1000-3-8,1.32341E+08,2%
Gol/64x64x1000-4-8,1.21729E+08,7%
Gol/64x64x1000-5-8,1.28890E+08,3%
Gol/64x64x1000-6-8,1.20834E+08,0%
Gol/64x64x1000-7-8,1.26273E+08,4%
Gol/64x64x1000-8-8,1.19374E+08,10%
Gol/64x64x1000-9-8,1.25964E+08,2%
Gol/64x64x1000-10-8,1.24006E+08,2%
Gol/64x64x1000-11-8,1.24228E+08,2%
Gol/64x64x1000-12-8,1.25139E+08,2%
Gol/64x64x1000-13-8,1.26335E+08,3%
Gol/64x64x1000-14-8,1.27004E+08,2%
Gol/64x64x1000-15-8,1.27601E+08,2%
Gol/64x64x1000-16-8,1.27095E+08,4%
